sample,original
H089-53,Norm_Area_241018_IP_HAM-CSF_RP-pos_133_H089-53raw_(F129)
H089-54,Norm_Area_241018_IP_HAM-CSF_RP-pos_142_H089-54raw_(F138)
H089-55,Norm_Area_241018_IP_HAM-CSF_RP-pos_150_H089-55raw_(F146)
H089-56,Norm_Area_241018_IP_HAM-CSF_RP-pos_158_H089-56raw_(F154)
H089-57,Norm_Area_241018_a_HAM-CSF_RP-pos_10_H089-57raw_(F1)
H089-58,Norm_Area_241018_IP_HAM-CSF_RP-pos_14_H089-58raw_(F12)
H089-59,Norm_Area_241018_IP_HAM-CSF_RP-pos_19_H089-59raw_(F17)
H089-60,Norm_Area_241018_IP_HAM-CSF_RP-pos_23_H089-60raw_(F21)
H089-61,Norm_Area_241018_IP_HAM-CSF_RP-pos_28_H089-61raw_(F25)
H089-62,Norm_Area_241018_IP_HAM-CSF_RP-pos_32_H089-62raw_(F29)
H089-63,Norm_Area_241018_IP_HAM-CSF_RP-pos_37_H089-63raw_(F34)
H089-64,Norm_Area_241018_IP_HAM-CSF_RP-pos_41_H089-64raw_(F38)
H089-65,Norm_Area_241018_IP_HAM-CSF_RP-pos_46_H089-65raw_(F42)
H089-66,Norm_Area_241018_IP_HAM-CSF_RP-pos_49_H089-66raw_(F45)
H089-67,Norm_Area_241018_IP_HAM-CSF_RP-pos_52_H089-67raw_(F48)
H089-68,Norm_Area_241018_IP_HAM-CSF_RP-pos_56_H089-68raw_(F52)
H089-69,Norm_Area_241018_IP_HAM-CSF_RP-pos_11_H089-69raw_(F9)
H089-70,Norm_Area_241018_IP_HAM-CSF_RP-pos_15_H089-70raw_(F13)
H089-71,Norm_Area_241018_IP_HAM-CSF_RP-pos_20_H089-71raw_(F18)
H089-72,Norm_Area_241018_IP_HAM-CSF_RP-pos_24_H089-72raw_(F22)
H089-73,Norm_Area_241018_IP_HAM-CSF_RP-pos_29_H089-73raw_(F26)
H089-74,Norm_Area_241018_IP_HAM-CSF_RP-pos_33_H089-74raw_(F30)
H089-75,Norm_Area_241018_IP_HAM-CSF_RP-pos_38_H089-75raw_(F35)
H089-76,Norm_Area_241018_IP_HAM-CSF_RP-pos_42_H089-76raw_(F39)
H089-77,Norm_Area_241018_IP_HAM-CSF_RP-pos_47_H089-77raw_(F43)
H089-78,Norm_Area_241018_IP_HAM-CSF_RP-pos_50_H089-78raw_(F46)
H089-79,Norm_Area_241018_IP_HAM-CSF_RP-pos_53_H089-79raw_(F49)
H089-80,Norm_Area_241018_IP_HAM-CSF_RP-pos_57_H089-80raw_(F53)
H089-81,Norm_Area_241018_IP_HAM-CSF_RP-pos_12_H089-81raw_(F10)
H089-82,Norm_Area_241018_IP_HAM-CSF_RP-pos_16_H089-82raw_(F14)
H089-83,Norm_Area_241018_IP_HAM-CSF_RP-pos_21_H089-83raw_(F19)
H089-84,Norm_Area_241018_IP_HAM-CSF_RP-pos_25_H089-84raw_(F23)
H089-85,Norm_Area_241018_IP_HAM-CSF_RP-pos_30_H089-85raw_(F27)
H089-86,Norm_Area_241018_IP_HAM-CSF_RP-pos_34_H089-86raw_(F31)
H089-87,Norm_Area_241018_IP_HAM-CSF_RP-pos_39_H089-87raw_(F36)
H089-88,Norm_Area_241018_IP_HAM-CSF_RP-pos_43_H089-88raw_(F40)
H089-89,Norm_Area_241018_IP_HAM-CSF_RP-pos_48_H089-89raw_(F44)
H089-90,Norm_Area_241018_IP_HAM-CSF_RP-pos_51_H089-90raw_(F47)
H089-91,Norm_Area_241018_IP_HAM-CSF_RP-pos_55_H089-91raw_(F51)
H089-92,Norm_Area_241018_IP_HAM-CSF_RP-pos_58_H089-92raw_(F54)
H089-93,Norm_Area_241018_IP_HAM-CSF_RP-pos_13_H090-93raw_(F11)
H089-94,Norm_Area_241018_IP_HAM-CSF_RP-pos_17_H090-94raw_(F15)
H089-95,Norm_Area_241018_IP_HAM-CSF_RP-pos_22_H090-95raw_(F20)
H089-96,Norm_Area_241018_IP_HAM-CSF_RP-pos_26_H090-96raw_(F24)
H089-97,Norm_Area_241018_IP_HAM-CSF_RP-pos_31_H090-97raw_(F28)
H089-98,Norm_Area_241018_IP_HAM-CSF_RP-pos_35_H090-98raw_(F32)
H089-99,Norm_Area_241018_IP_HAM-CSF_RP-pos_40_H090-99raw_(F37)
H089-100,Norm_Area_241018_IP_HAM-CSF_RP-pos_44_H090-100raw_(F41)
H040-1,Norm_Area_241018_IP_HAM-CSF_RP-pos_59_H040-1raw_(F55)
H040-2,Norm_Area_241018_IP_HAM-CSF_RP-pos_68_H040-2raw_(F64)
H040-3,Norm_Area_241018_IP_HAM-CSF_RP-pos_76_H040-3raw_(F72)
H040-4,Norm_Area_241018_IP_HAM-CSF_RP-pos_85_H040-4raw_(F81)
H040-5,Norm_Area_241018_IP_HAM-CSF_RP-pos_93_H040-5raw_(F89)
H040-6,Norm_Area_241018_IP_HAM-CSF_RP-pos_101_H040-6raw_(F97)
H040-7,Norm_Area_241018_IP_HAM-CSF_RP-pos_109_H040-7raw_(F105)
H040-8,Norm_Area_241018_IP_HAM-CSF_RP-pos_118_H040-8raw_(F114)
H040-9,Norm_Area_241018_IP_HAM-CSF_RP-pos_126_H040-9raw_(F122)
H040-10,Norm_Area_241018_IP_HAM-CSF_RP-pos_135_H040-10raw_(F131)
H040-11,Norm_Area_241018_IP_HAM-CSF_RP-pos_143_H040-11raw_(F139)
H040-12,Norm_Area_241018_IP_HAM-CSF_RP-pos_151_H040-12raw_(F147)
H040-13,Norm_Area_241018_IP_HAM-CSF_RP-pos_60_H040-13raw_(F56)
H040-14,Norm_Area_241018_IP_HAM-CSF_RP-pos_69_H040-14raw_(F65)
H040-15,Norm_Area_241018_IP_HAM-CSF_RP-pos_77_H040-15raw_(F73)
H040-16,Norm_Area_241018_IP_HAM-CSF_RP-pos_86_H040-16raw_(F82)
H040-17,Norm_Area_241018_IP_HAM-CSF_RP-pos_94_H040-17raw_(F90)
H040-18,Norm_Area_241018_IP_HAM-CSF_RP-pos_102_H040-18raw_(F98)
H040-19,Norm_Area_241018_IP_HAM-CSF_RP-pos_110_H040-19raw_(F106)
H040-20,Norm_Area_241018_IP_HAM-CSF_RP-pos_119_H040-20raw_(F115)
H040-21,Norm_Area_241018_IP_HAM-CSF_RP-pos_127_H040-21raw_(F123)
H040-22,Norm_Area_241018_IP_HAM-CSF_RP-pos_136_H040-22raw_(F132)
H040-23,Norm_Area_241018_IP_HAM-CSF_RP-pos_144_H040-23raw_(F140)
H040-24,Norm_Area_241018_IP_HAM-CSF_RP-pos_152_H040-24raw_(F148)
H040-25,Norm_Area_241018_IP_HAM-CSF_RP-pos_61_H040-25raw_(F57)
H040-26,Norm_Area_241018_IP_HAM-CSF_RP-pos_70_H040-26raw_(F66)
H040-27,Norm_Area_241018_IP_HAM-CSF_RP-pos_78_H040-27raw_(F74)
H040-28,Norm_Area_241018_IP_HAM-CSF_RP-pos_87_H040-28raw_(F83)
H040-29,Norm_Area_241018_IP_HAM-CSF_RP-pos_95_H040-29raw_(F91)
H040-30,Norm_Area_241018_IP_HAM-CSF_RP-pos_103_H040-30raw_(F99)
H040-31,Norm_Area_241018_IP_HAM-CSF_RP-pos_111_H040-31raw_(F107)
H040-32,Norm_Area_241018_IP_HAM-CSF_RP-pos_120_H040-32raw_(F116)
H040-33,Norm_Area_241018_IP_HAM-CSF_RP-pos_128_H040-33raw_(F124)
H040-34,Norm_Area_241018_IP_HAM-CSF_RP-pos_137_H040-34raw_(F133)
H040-35,Norm_Area_241018_IP_HAM-CSF_RP-pos_145_H040-35raw_(F141)
H040-36,Norm_Area_241018_IP_HAM-CSF_RP-pos_153_H040-36raw_(F149)
H040-37,Norm_Area_241018_IP_HAM-CSF_RP-pos_62_H040-37raw_(F58)
H040-38,Norm_Area_241018_IP_HAM-CSF_RP-pos_71_H040-38raw_(F67)
H040-39,Norm_Area_241018_IP_HAM-CSF_RP-pos_79_H040-39raw_(F75)
H040-40,Norm_Area_241018_IP_HAM-CSF_RP-pos_88_H040-40raw_(F84)
PR_SST1,Peak_Rating_241018_IP_HAM-CSF_RP-pos_1_SSTraw_(F2)
"PR_blank_start1	",Peak_Rating_241018_IP_HAM-CSF_RP-pos_2_Blank-startraw_(F3)
"PR_blank_start2	",Peak_Rating_241018_IP_HAM-CSF_RP-pos_3_Blank-startraw_(F4)
PR_conditioning1,Peak_Rating_241018_IP_HAM-CSF_RP-pos_5_QC-conditioningraw_(F5)
PR_conditioning2,Peak_Rating_241018_IP_HAM-CSF_RP-pos_6_QC-conditioningraw_(F6)
PR_QC1,Peak_Rating_241018_IP_HAM-CSF_RP-pos_18_QCraw_(F16)
PR_QC2,Peak_Rating_241018_IP_HAM-CSF_RP-pos_36_QCraw_(F33)
PR_QC3,Peak_Rating_241018_IP_HAM-CSF_RP-pos_54_QCraw_(F50)
PR_QC4,Peak_Rating_241018_IP_HAM-CSF_RP-pos_67_QCraw_(F63)
PR_QC5,Peak_Rating_241018_IP_HAM-CSF_RP-pos_84_QCraw_(F80)
PR_QC6,Peak_Rating_241018_IP_HAM-CSF_RP-pos_117_QCraw_(F113)
PR_QC7,Peak_Rating_241018_IP_HAM-CSF_RP-pos_134_QCraw_(F130)
PR_QC8,Peak_Rating_241018_IP_HAM-CSF_RP-pos_160_QCraw_(F156)
PR_QC9,Peak_Rating_241018_IP_HAM-CSF_RP-pos_161_QCraw_(F157)
PR_blank_end,Peak_Rating_241018_IP_HAM-CSF_RP-pos_162_blank-endraw_(F158)
PR_SST2,Peak_Rating_241018_IP_HAM-CSF_RP-pos_163_SSTraw_(F160)
PR_H089-01,Peak_Rating_241018_IP_HAM-CSF_RP-pos_96_H089-1raw_(F92)
PR_H089-02,Peak_Rating_241018_IP_HAM-CSF_RP-pos_104_H089-2raw_(F100)
PR_H089-03,Peak_Rating_241018_IP_HAM-CSF_RP-pos_112_H089-3raw_(F108)
PR_H089-04,Peak_Rating_241018_IP_HAM-CSF_RP-pos_121_H089-4raw_(F117)
PR_H089-05,Peak_Rating_241018_IP_HAM-CSF_RP-pos_129_H089-5raw_(F125)
PR_H089-06,Peak_Rating_241018_IP_HAM-CSF_RP-pos_138_H089-6raw_(F134)
PR_H089-07,Peak_Rating_241018_IP_HAM-CSF_RP-pos_146_H089-7raw_(F142)
PR_H089-08,Peak_Rating_241018_IP_HAM-CSF_RP-pos_154_H089-8raw_(F150)
PR_H089-09,Peak_Rating_241018_IP_HAM-CSF_RP-pos_63_H089-9raw_(F59)
PR_H089-10,Peak_Rating_241018_IP_HAM-CSF_RP-pos_72_H089-10raw_(F68)
PR_H089-11,Peak_Rating_241018_IP_HAM-CSF_RP-pos_80_H089-11raw_(F76)
PR_H089-12,Peak_Rating_241018_IP_HAM-CSF_RP-pos_89_H089-12raw_(F85)
PR_H089-13,Peak_Rating_241018_IP_HAM-CSF_RP-pos_97_H089-13raw_(F93)
PR_H089-14,Peak_Rating_241018_IP_HAM-CSF_RP-pos_105_H089-14raw_(F101)
PR_H089-15,Peak_Rating_241018_IP_HAM-CSF_RP-pos_113_H089-15raw_(F109)
PR_H089-16,Peak_Rating_241018_IP_HAM-CSF_RP-pos_122_H089-16raw_(F118)
PR_H089-17,Peak_Rating_241018_IP_HAM-CSF_RP-pos_130_H089-17raw_(F126)
PR_H089-18,Peak_Rating_241018_IP_HAM-CSF_RP-pos_139_H089-18raw_(F135)
PR_H089-19,Peak_Rating_241018_IP_HAM-CSF_RP-pos_147_H089-19raw_(F143)
PR_H089-20,Peak_Rating_241018_IP_HAM-CSF_RP-pos_155_H089-20raw_(F151)
PR_H089-21,Peak_Rating_241018_IP_HAM-CSF_RP-pos_64_H089-21raw_(F60)
PR_H089-22,Peak_Rating_241018_IP_HAM-CSF_RP-pos_73_H089-22raw_(F69)
PR_H089-23,Peak_Rating_241018_IP_HAM-CSF_RP-pos_81_H089-23raw_(F77)
PR_H089-24,Peak_Rating_241018_IP_HAM-CSF_RP-pos_90_H089-24raw_(F86)
PR_H089-25,Peak_Rating_241018_IP_HAM-CSF_RP-pos_98_H089-25raw_(F94)
PR_H089-26,Peak_Rating_241018_IP_HAM-CSF_RP-pos_106_H089-26raw_(F102)
PR_H089-27,Peak_Rating_241018_IP_HAM-CSF_RP-pos_114_H089-27raw_(F110)
PR_H089-28,Peak_Rating_241018_IP_HAM-CSF_RP-pos_123_H089-28raw_(F119)
PR_H089-29,Peak_Rating_241018_IP_HAM-CSF_RP-pos_131_H089-29raw_(F127)
PR_H089-30,Peak_Rating_241018_IP_HAM-CSF_RP-pos_140_H089-30raw_(F136)
PR_H089-31,Peak_Rating_241018_IP_HAM-CSF_RP-pos_148_H089-31raw_(F144)
PR_H089-32,Peak_Rating_241018_IP_HAM-CSF_RP-pos_156_H089-32raw_(F152)
PR_H089-33,Peak_Rating_241018_IP_HAM-CSF_RP-pos_65_H089-33raw_(F61)
PR_H089-34,Peak_Rating_241018_IP_HAM-CSF_RP-pos_74_H089-34raw_(F70)
PR_H089-35,Peak_Rating_241018_IP_HAM-CSF_RP-pos_82_H089-35raw_(F78)
PR_H089-36,Peak_Rating_241018_IP_HAM-CSF_RP-pos_91_H089-36raw_(F87)
PR_H089-37,Peak_Rating_241018_IP_HAM-CSF_RP-pos_99_H089-37raw_(F95)
PR_H089-38,Peak_Rating_241018_IP_HAM-CSF_RP-pos_107_H089-38raw_(F103)
PR_H089-39,Peak_Rating_241018_IP_HAM-CSF_RP-pos_115_H089-39raw_(F111)
PR_H089-40,Peak_Rating_241018_IP_HAM-CSF_RP-pos_124_H089-40raw_(F120)
PR_H089-41,Peak_Rating_241018_IP_HAM-CSF_RP-pos_132_H089-41raw_(F128)
PR_H089-42,Peak_Rating_241018_IP_HAM-CSF_RP-pos_141_H089-42raw_(F137)
PR_H089-43,Peak_Rating_241018_IP_HAM-CSF_RP-pos_149_H089-43raw_(F145)
PR_H089-44,Peak_Rating_241018_IP_HAM-CSF_RP-pos_157_H089-44raw_(F153)
PR_H089-45,Peak_Rating_241018_IP_HAM-CSF_RP-pos_66_H089-45raw_(F62)
PR_H089-46,Peak_Rating_241018_IP_HAM-CSF_RP-pos_75_H089-46raw_(F71)
PR_H089-47,Peak_Rating_241018_IP_HAM-CSF_RP-pos_83_H089-47raw_(F79)
PR_H089-48,Peak_Rating_241018_IP_HAM-CSF_RP-pos_92_H089-48raw_(F88)
PR_H089-49,Peak_Rating_241018_IP_HAM-CSF_RP-pos_100_H089-49raw_(F96)
PR_H089-50,Peak_Rating_241018_IP_HAM-CSF_RP-pos_108_H089-50raw_(F104)
PR_H089-51,Peak_Rating_241018_IP_HAM-CSF_RP-pos_116_H089-51raw_(F112)
PR_H089-52,Peak_Rating_241018_IP_HAM-CSF_RP-pos_125_H089-52raw_(F121)
PR_H089-53,Peak_Rating_241018_IP_HAM-CSF_RP-pos_133_H089-53raw_(F129)
PR_H089-54,Peak_Rating_241018_IP_HAM-CSF_RP-pos_142_H089-54raw_(F138)
PR_H089-55,Peak_Rating_241018_IP_HAM-CSF_RP-pos_150_H089-55raw_(F146)
PR_H089-56,Peak_Rating_241018_IP_HAM-CSF_RP-pos_158_H089-56raw_(F154)
PR_H089-57,Peak_Rating_241018_a_HAM-CSF_RP-pos_10_H089-57raw_(F1)
PR_H089-58,Peak_Rating_241018_IP_HAM-CSF_RP-pos_14_H089-58raw_(F12)
PR_H089-59,Peak_Rating_241018_IP_HAM-CSF_RP-pos_19_H089-59raw_(F17)
PR_H089-60,Peak_Rating_241018_IP_HAM-CSF_RP-pos_23_H089-60raw_(F21)
PR_H089-61,Peak_Rating_241018_IP_HAM-CSF_RP-pos_28_H089-61raw_(F25)
PR_H089-62,Peak_Rating_241018_IP_HAM-CSF_RP-pos_32_H089-62raw_(F29)
PR_H089-63,Peak_Rating_241018_IP_HAM-CSF_RP-pos_37_H089-63raw_(F34)
PR_H089-64,Peak_Rating_241018_IP_HAM-CSF_RP-pos_41_H089-64raw_(F38)
PR_H089-65,Peak_Rating_241018_IP_HAM-CSF_RP-pos_46_H089-65raw_(F42)
PR_H089-66,Peak_Rating_241018_IP_HAM-CSF_RP-pos_49_H089-66raw_(F45)
PR_H089-67,Peak_Rating_241018_IP_HAM-CSF_RP-pos_52_H089-67raw_(F48)
PR_H089-68,Peak_Rating_241018_IP_HAM-CSF_RP-pos_56_H089-68raw_(F52)
PR_H089-69,Peak_Rating_241018_IP_HAM-CSF_RP-pos_11_H089-69raw_(F9)
PR_H089-70,Peak_Rating_241018_IP_HAM-CSF_RP-pos_15_H089-70raw_(F13)
PR_H089-71,Peak_Rating_241018_IP_HAM-CSF_RP-pos_20_H089-71raw_(F18)
PR_H089-72,Peak_Rating_241018_IP_HAM-CSF_RP-pos_24_H089-72raw_(F22)
PR_H089-73,Peak_Rating_241018_IP_HAM-CSF_RP-pos_29_H089-73raw_(F26)
PR_H089-74,Peak_Rating_241018_IP_HAM-CSF_RP-pos_33_H089-74raw_(F30)
PR_H089-75,Peak_Rating_241018_IP_HAM-CSF_RP-pos_38_H089-75raw_(F35)
PR_H089-76,Peak_Rating_241018_IP_HAM-CSF_RP-pos_42_H089-76raw_(F39)
PR_H089-77,Peak_Rating_241018_IP_HAM-CSF_RP-pos_47_H089-77raw_(F43)
PR_H089-78,Peak_Rating_241018_IP_HAM-CSF_RP-pos_50_H089-78raw_(F46)
PR_H089-79,Peak_Rating_241018_IP_HAM-CSF_RP-pos_53_H089-79raw_(F49)
PR_H089-80,Peak_Rating_241018_IP_HAM-CSF_RP-pos_57_H089-80raw_(F53)
PR_H089-81,Peak_Rating_241018_IP_HAM-CSF_RP-pos_12_H089-81raw_(F10)
PR_H089-82,Peak_Rating_241018_IP_HAM-CSF_RP-pos_16_H089-82raw_(F14)
PR_H089-83,Peak_Rating_241018_IP_HAM-CSF_RP-pos_21_H089-83raw_(F19)
PR_H089-84,Peak_Rating_241018_IP_HAM-CSF_RP-pos_25_H089-84raw_(F23)
PR_H089-85,Peak_Rating_241018_IP_HAM-CSF_RP-pos_30_H089-85raw_(F27)
PR_H089-86,Peak_Rating_241018_IP_HAM-CSF_RP-pos_34_H089-86raw_(F31)
PR_H089-87,Peak_Rating_241018_IP_HAM-CSF_RP-pos_39_H089-87raw_(F36)
PR_H089-88,Peak_Rating_241018_IP_HAM-CSF_RP-pos_43_H089-88raw_(F40)
PR_H089-89,Peak_Rating_241018_IP_HAM-CSF_RP-pos_48_H089-89raw_(F44)
PR_H089-90,Peak_Rating_241018_IP_HAM-CSF_RP-pos_51_H089-90raw_(F47)
PR_H089-91,Peak_Rating_241018_IP_HAM-CSF_RP-pos_55_H089-91raw_(F51)
PR_H089-92,Peak_Rating_241018_IP_HAM-CSF_RP-pos_58_H089-92raw_(F54)
PR_H089-93,Peak_Rating_241018_IP_HAM-CSF_RP-pos_13_H090-93raw_(F11)
PR_H089-94,Peak_Rating_241018_IP_HAM-CSF_RP-pos_17_H090-94raw_(F15)
PR_H089-95,Peak_Rating_241018_IP_HAM-CSF_RP-pos_22_H090-95raw_(F20)
PR_H089-96,Peak_Rating_241018_IP_HAM-CSF_RP-pos_26_H090-96raw_(F24)
PR_H089-97,Peak_Rating_241018_IP_HAM-CSF_RP-pos_31_H090-97raw_(F28)
PR_H089-98,Peak_Rating_241018_IP_HAM-CSF_RP-pos_35_H090-98raw_(F32)
PR_H089-99,Peak_Rating_241018_IP_HAM-CSF_RP-pos_40_H090-99raw_(F37)
PR_H089-100,Peak_Rating_241018_IP_HAM-CSF_RP-pos_44_H090-100raw_(F41)
PR_H040-1,Peak_Rating_241018_IP_HAM-CSF_RP-pos_59_H040-1raw_(F55)
PR_H040-2,Peak_Rating_241018_IP_HAM-CSF_RP-pos_68_H040-2raw_(F64)
PR_H040-3,Peak_Rating_241018_IP_HAM-CSF_RP-pos_76_H040-3raw_(F72)
PR_H040-4,Peak_Rating_241018_IP_HAM-CSF_RP-pos_85_H040-4raw_(F81)
PR_H040-5,Peak_Rating_241018_IP_HAM-CSF_RP-pos_93_H040-5raw_(F89)
PR_H040-6,Peak_Rating_241018_IP_HAM-CSF_RP-pos_101_H040-6raw_(F97)
PR_H040-7,Peak_Rating_241018_IP_HAM-CSF_RP-pos_109_H040-7raw_(F105)
PR_H040-8,Peak_Rating_241018_IP_HAM-CSF_RP-pos_118_H040-8raw_(F114)
PR_H040-9,Peak_Rating_241018_IP_HAM-CSF_RP-pos_126_H040-9raw_(F122)
PR_H040-10,Peak_Rating_241018_IP_HAM-CSF_RP-pos_135_H040-10raw_(F131)
PR_H040-11,Peak_Rating_241018_IP_HAM-CSF_RP-pos_143_H040-11raw_(F139)
PR_H040-12,Peak_Rating_241018_IP_HAM-CSF_RP-pos_151_H040-12raw_(F147)
PR_H040-13,Peak_Rating_241018_IP_HAM-CSF_RP-pos_60_H040-13raw_(F56)
PR_H040-14,Peak_Rating_241018_IP_HAM-CSF_RP-pos_69_H040-14raw_(F65)
PR_H040-15,Peak_Rating_241018_IP_HAM-CSF_RP-pos_77_H040-15raw_(F73)
PR_H040-16,Peak_Rating_241018_IP_HAM-CSF_RP-pos_86_H040-16raw_(F82)
PR_H040-17,Peak_Rating_241018_IP_HAM-CSF_RP-pos_94_H040-17raw_(F90)
PR_H040-18,Peak_Rating_241018_IP_HAM-CSF_RP-pos_102_H040-18raw_(F98)
PR_H040-19,Peak_Rating_241018_IP_HAM-CSF_RP-pos_110_H040-19raw_(F106)
PR_H040-20,Peak_Rating_241018_IP_HAM-CSF_RP-pos_119_H040-20raw_(F115)
